year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,AA,"American Airlines Inc.",JAC,"Jackson, WY: Jackson Hole",99,15,3,1,3,0,8,0,0,1365,207,192,187,0,779
2023,8,AA,"American Airlines Inc.",JAX,"Jacksonville, FL: Jacksonville International",604,182,56,5,26,1,94,23,1,15927,3880,405,1273,44,10325
2023,8,AA,"American Airlines Inc.",JFK,"New York, NY: John F. Kennedy International",1220,307,109,17,89,2,91,8,2,27925,10897,2402,4092,41,10493
2023,8,AA,"American Airlines Inc.",KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",62,15,6,0,5,0,5,0,1,1007,561,0,124,0,322
2023,8,AA,"American Airlines Inc.",LAS,"Las Vegas, NV: Harry Reid International",1219,413,127,13,89,4,181,11,1,36270,10163,1045,4053,193,20816
2023,8,AA,"American Airlines Inc.",LAX,"Los Angeles, CA: Los Angeles International",2611,661,229,24,132,1,276,19,8,64858,26362,2603,5576,53,30264
2023,8,AA,"American Airlines Inc.",LBB,"Lubbock, TX: Lubbock Preston Smith International",75,21,7,0,1,0,13,2,0,3293,944,0,62,0,2287
2023,8,AA,"American Airlines Inc.",LEX,"Lexington, KY: Blue Grass",72,30,11,0,1,0,18,1,0,4172,1392,0,74,0,2706
2023,8,AA,"American Airlines Inc.",LGA,"New York, NY: LaGuardia",1558,372,132,30,70,2,138,26,8,34763,11381,2683,3942,111,16646
2023,8,AA,"American Airlines Inc.",LIH,"Lihue, HI: Lihue Airport",62,9,4,0,1,0,3,0,0,969,292,0,45,0,632
2023,8,AA,"American Airlines Inc.",LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",57,16,4,0,2,0,10,2,0,1777,494,0,66,0,1217
2023,8,AA,"American Airlines Inc.",MCI,"Kansas City, MO: Kansas City International",513,167,57,6,14,0,89,7,0,13922,4404,506,686,38,8288
2023,8,AA,"American Airlines Inc.",MCO,"Orlando, FL: Orlando International",1556,417,116,20,100,0,181,24,12,44135,11845,2606,6022,0,23662
2023,8,AA,"American Airlines Inc.",MDT,"Harrisburg, PA: Harrisburg International",75,22,10,0,2,0,10,0,0,2528,594,0,70,0,1864
2023,8,AA,"American Airlines Inc.",MEM,"Memphis, TN: Memphis International",428,135,39,6,20,0,70,9,0,12945,4058,514,686,0,7687
2023,8,AA,"American Airlines Inc.",MFE,"Mission/McAllen/Edinburg, TX: McAllen International",141,25,13,0,1,0,11,2,0,1386,482,1,47,0,856
2023,8,AA,"American Airlines Inc.",MHT,"Manchester, NH: Manchester Boston Regional",17,4,3,0,0,0,1,0,0,313,229,0,44,0,40
2023,8,AA,"American Airlines Inc.",MIA,"Miami, FL: Miami International",4604,1094,316,31,351,6,390,86,34,102683,31859,3022,20060,366,47376
2023,8,AA,"American Airlines Inc.",MKE,"Milwaukee, WI: General Mitchell International",214,74,26,3,6,0,39,3,0,7645,2779,300,265,0,4301
2023,8,AA,"American Airlines Inc.",MRY,"Monterey, CA: Monterey Regional",73,26,10,0,3,0,13,2,0,2955,810,0,114,0,2031
2023,8,AA,"American Airlines Inc.",MSN,"Madison, WI: Dane County Regional-Truax Field",207,57,18,2,6,0,31,1,0,5855,2007,195,187,0,3466
2023,8,AA,"American Airlines Inc.",MSO,"Missoula, MT: Missoula Montana",44,11,3,0,4,0,4,0,0,554,93,0,142,0,319
2023,8,AA,"American Airlines Inc.",MSP,"Minneapolis, MN: Minneapolis-St Paul International",402,86,35,3,14,0,33,2,0,7966,3772,269,864,0,3061
2023,8,AA,"American Airlines Inc.",MSY,"New Orleans, LA: Louis Armstrong New Orleans International",538,152,48,6,17,0,81,9,2,13254,4943,508,707,0,7096
2023,8,AA,"American Airlines Inc.",MTJ,"Montrose/Delta, CO: Montrose Regional",62,18,7,0,0,0,11,0,0,2010,581,9,0,0,1420
2023,8,AA,"American Airlines Inc.",MYR,"Myrtle Beach, SC: Myrtle Beach International",134,28,8,3,5,0,13,5,0,1547,339,254,105,0,849
2023,8,AA,"American Airlines Inc.",OGG,"Kahului, HI: Kahului Airport",124,23,9,0,8,0,7,5,0,1185,558,0,301,0,326
2023,8,AA,"American Airlines Inc.",OKC,"Oklahoma City, OK: Will Rogers World",247,63,22,1,4,0,36,3,1,7256,1302,100,273,0,5581
2023,8,AA,"American Airlines Inc.",OMA,"Omaha, NE: Eppley Airfield",216,50,24,0,4,0,22,1,1,4060,2270,17,368,0,1405
2023,8,AA,"American Airlines Inc.",ONT,"Ontario, CA: Ontario International",297,106,32,3,4,1,66,2,0,11702,3488,259,220,178,7557
2023,8,AA,"American Airlines Inc.",ORD,"Chicago, IL: Chicago O'Hare International",4397,941,240,40,234,4,422,56,12,94427,26135,5095,13348,167,49682
2023,8,AA,"American Airlines Inc.",ORF,"Norfolk, VA: Norfolk International",260,67,24,4,6,0,32,5,1,12245,3986,674,279,0,7306
2023,8,AA,"American Airlines Inc.",PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",354,100,31,2,15,0,51,5,3,8740,1782,476,854,0,5628
2023,8,AA,"American Airlines Inc.",PDX,"Portland, OR: Portland International",358,100,34,4,11,0,51,4,0,10803,4035,343,506,3,5916
2023,8,AA,"American Airlines Inc.",PHL,"Philadelphia, PA: Philadelphia International",4135,950,269,51,181,0,448,60,7,106729,36784,4914,8163,14,56854
2023,8,AA,"American Airlines Inc.",PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4513,824,283,28,95,3,415,30,10,109272,49607,1742,3609,232,54082
2023,8,AA,"American Airlines Inc.",PIT,"Pittsburgh, PA: Pittsburgh International",586,178,55,6,20,1,97,11,0,15503,3342,654,864,11,10632
2023,8,AA,"American Airlines Inc.",PNS,"Pensacola, FL: Pensacola International",170,49,11,1,8,0,29,0,0,3509,834,42,331,0,2302
2023,8,AA,"American Airlines Inc.",PSP,"Palm Springs, CA: Palm Springs International",97,25,9,0,1,0,15,3,0,2328,483,0,30,0,1815
2023,8,AA,"American Airlines Inc.",PVD,"Providence, RI: Rhode Island Tf Green International",172,41,12,2,8,0,18,3,0,2642,666,189,323,0,1464
2023,8,AA,"American Airlines Inc.",PWM,"Portland, ME: Portland International Jetport",223,55,19,2,6,0,27,1,1,4965,1700,193,289,0,2783
2023,8,AA,"American Airlines Inc.",RAP,"Rapid City, SD: Rapid City Regional",4,2,1,0,1,0,1,0,0,178,61,0,68,0,49
2023,8,AA,"American Airlines Inc.",RDU,"Raleigh/Durham, NC: Raleigh-Durham International",997,295,92,11,34,0,158,20,1,28502,8196,903,1870,0,17533
2023,8,AA,"American Airlines Inc.",RIC,"Richmond, VA: Richmond International",338,111,38,5,6,1,62,8,0,11513,4418,380,289,35,6391
2023,8,AA,"American Airlines Inc.",RNO,"Reno, NV: Reno/Tahoe International",230,59,18,2,7,0,32,1,0,5252,2444,192,267,0,2349
2023,8,AA,"American Airlines Inc.",ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",63,18,2,2,2,1,12,2,1,1790,110,290,128,38,1224
2023,8,AA,"American Airlines Inc.",RSW,"Fort Myers, FL: Southwest Florida International",390,114,31,3,23,0,57,7,1,9970,2939,242,1053,0,5736
2023,8,AA,"American Airlines Inc.",SAN,"San Diego, CA: San Diego International",789,249,85,7,38,1,119,8,2,25312,9148,891,1985,35,13253
2023,8,AA,"American Airlines Inc.",SAT,"San Antonio, TX: San Antonio International",671,183,62,5,21,1,94,4,1,16724,6162,205,894,29,9434
2023,8,AA,"American Airlines Inc.",SAV,"Savannah, GA: Savannah/Hilton Head International",164,45,7,6,8,1,23,5,1,5444,1038,390,365,21,3630
2023,8,AA,"American Airlines Inc.",SBA,"Santa Barbara, CA: Santa Barbara Municipal",123,36,13,0,2,0,21,2,0,2638,776,0,80,0,1782
2023,8,AA,"American Airlines Inc.",SBP,"San Luis Obispo, CA: San Luis County Regional",60,23,9,1,2,0,11,0,0,3742,528,511,324,0,2379
2023,8,AA,"American Airlines Inc.",SDF,"Louisville, KY: Louisville Muhammad Ali International",260,81,36,5,8,0,31,3,0,8545,4730,632,338,1,2844
2023,8,AA,"American Airlines Inc.",SEA,"Seattle, WA: Seattle/Tacoma International",641,189,62,10,41,2,75,5,0,14516,4349,1070,1574,84,7439
2023,8,AA,"American Airlines Inc.",SFO,"San Francisco, CA: San Francisco International",918,276,94,9,45,0,128,5,1,28084,12613,680,1829,0,12962
2023,8,AA,"American Airlines Inc.",SJC,"San Jose, CA: Norman Y. Mineta San Jose International",171,33,18,1,3,1,10,0,0,3896,2821,155,143,50,727
2023,8,AA,"American Airlines Inc.",SJU,"San Juan, PR: Luis Munoz Marin International",293,82,29,7,14,0,33,2,1,6076,2586,329,672,4,2485
2023,8,AA,"American Airlines Inc.",SLC,"Salt Lake City, UT: Salt Lake City International",313,119,44,1,11,0,63,3,1,10264,3366,49,512,0,6337
2023,8,AA,"American Airlines Inc.",SMF,"Sacramento, CA: Sacramento International",315,111,42,2,13,0,54,1,0,7722,2902,149,550,0,4121
2023,8,AA,"American Airlines Inc.",SNA,"Santa Ana, CA: John Wayne Airport-Orange County",577,112,45,5,24,1,38,5,1,8848,3918,280,753,21,3876
2023,8,AA,"American Airlines Inc.",SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",125,39,12,1,7,0,18,8,0,3587,1305,164,288,0,1830
2023,8,AA,"American Airlines Inc.",STL,"St. Louis, MO: St Louis Lambert International",582,191,70,9,26,0,86,2,1,15799,5974,870,969,72,7914
2023,8,AA,"American Airlines Inc.",STT,"Charlotte Amalie, VI: Cyril E King",113,11,1,2,6,0,2,0,0,853,148,159,209,0,337
2023,8,AA,"American Airlines Inc.",STX,"Christiansted, VI: Henry E. Rohlsen",47,12,6,2,2,0,2,0,0,453,245,60,66,0,82
2023,8,AA,"American Airlines Inc.",SYR,"Syracuse, NY: Syracuse Hancock International",135,42,13,1,5,0,22,1,1,3026,794,147,181,39,1865
2023,8,AA,"American Airlines Inc.",TPA,"Tampa, FL: Tampa International",1029,289,84,9,64,3,130,73,2,26179,7021,944,3402,93,14719
2023,8,AA,"American Airlines Inc.",TUL,"Tulsa, OK: Tulsa International",167,46,23,1,2,0,19,2,0,4889,3018,65,124,7,1675
2023,8,AA,"American Airlines Inc.",TUS,"Tucson, AZ: Tucson International",260,69,27,2,7,0,34,3,2,4472,1972,191,238,0,2071
2023,8,AA,"American Airlines Inc.",TVC,"Traverse City, MI: Cherry Capital",31,12,4,0,0,0,8,0,0,969,186,0,6,0,777
2023,8,AA,"American Airlines Inc.",TYS,"Knoxville, TN: McGhee Tyson",115,31,10,0,5,0,15,1,0,1793,571,20,234,17,951
2023,8,AA,"American Airlines Inc.",VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",219,76,19,4,18,0,36,1,0,7843,1685,628,760,0,4770
2023,8,AA,"American Airlines Inc.",XNA,"Fayetteville, AR: Northwest Arkansas National",60,15,2,0,2,0,11,1,1,2577,232,0,110,0,2235
2023,7,AA,"American Airlines Inc.",ABQ,"Albuquerque, NM: Albuquerque International Sunport",276,84,36,2,8,0,37,0,1,8734,3352,139,310,0,4933
2023,7,AA,"American Airlines Inc.",ALB,"Albany, NY: Albany International",92,38,13,3,5,1,16,2,1,3016,929,439,250,39,1359
2023,7,AA,"American Airlines Inc.",AMA,"Amarillo, TX: Rick Husband Amarillo International",53,14,8,0,2,0,5,0,1,915,342,0,33,0,540
2023,7,AA,"American Airlines Inc.",ANC,"Anchorage, AK: Ted Stevens Anchorage International",93,40,13,1,9,0,17,0,1,3688,785,65,377,0,2461
2023,7,AA,"American Airlines Inc.",ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",762,308,111,23,46,0,128,8,6,32750,11237,2421,2650,0,16442
2023,7,AA,"American Airlines Inc.",AUS,"Austin, TX: Austin - Bergstrom International",1354,407,129,21,92,1,165,16,2,31700,12042,1541,3522,65,14530
2023,7,AA,"American Airlines Inc.",AVL,"Asheville, NC: Asheville Regional",175,56,20,2,13,1,20,2,0,6463,1893,577,778,18,3197
2023,7,AA,"American Airlines Inc.",AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",56,9,3,0,1,0,5,1,1,844,274,0,52,0,518
2023,7,AA,"American Airlines Inc.",BDL,"Hartford, CT: Bradley International",272,111,33,5,19,1,53,4,2,8997,2807,524,746,35,4885
2023,7,AA,"American Airlines Inc.",BFL,"Bakersfield, CA: Meadows Field",62,21,11,1,4,0,6,0,0,1805,1289,24,107,0,385
2023,7,AA,"American Airlines Inc.",BGR,"Bangor, ME: Bangor International",135,46,11,2,11,0,22,2,0,2755,779,258,530,0,1188
2023,7,AA,"American Airlines Inc.",BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",86,37,15,2,7,0,13,0,0,3736,1570,239,354,0,1573
2023,7,AA,"American Airlines Inc.",BNA,"Nashville, TN: Nashville International",688,266,85,14,57,0,110,10,2,21797,8673,914,2353,15,9842
2023,7,AA,"American Airlines Inc.",BOI,"Boise, ID: Boise Air Terminal",106,32,14,2,3,0,14,0,0,2398,1032,36,111,0,1219
2023,7,AA,"American Airlines Inc.",BOS,"Boston, MA: Logan International",1465,530,135,38,181,1,176,65,6,48706,10923,3710,12490,15,21568
2023,7,AA,"American Airlines Inc.",BTV,"Burlington, VT: Burlington International",32,11,3,1,2,0,5,2,0,697,117,77,87,0,416
2023,7,AA,"American Airlines Inc.",BUF,"Buffalo, NY: Buffalo Niagara International",178,74,27,4,14,0,29,3,0,6669,2819,366,754,13,2717
